index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,3,8,,,3,3,
3,2,4,9,,3,3,3,
4,3,5,10,,3,3,3,
5,4,6,11,,3,3,3,
6,5,,,,3,,,
7,,8,13,1,,3,3,3
8,7,,14,2,3,,3,3
9,,,,3,,,,3
10,,,16,4,,,3,3
11,,12,17,5,,3,3,3
12,11,,18,,3,,3,
13,,,19,7,,,3,3
14,,15,20,8,,3,3,3
15,14,,,,3,,,
16,,,,10,,,,3
17,,18,23,11,,3,3,3
18,17,,24,12,3,,3,3
19,,20,25,13,,3,3,3
20,19,21,,14,3,3,,3
21,20,,27,,3,,3,
22,,23,,,,3,,
23,22,24,29,17,3,3,3,3
24,23,,,18,3,,,3
25,,,31,19,,,3,3
26,,27,,,,4,,
27,26,,33,21,4,,3,3
28,,,34,,,,3,
29,,30,35,23,,3,3,3
30,29,,,,3,,,
31,,,37,25,,,3,3
32,,33,38,,,3,3,
33,32,,39,27,3,,3,3
34,,35,,28,,3,,3
35,34,,41,29,3,,3,3
36,,,42,,,,3,
37,,38,43,31,,3,3,3
38,37,39,44,32,3,3,3,3
39,38,,45,33,3,,3,3
40,,41,46,,,3,3,
41,40,42,47,35,3,3,3,3
42,41,,,36,3,,,3
43,,,,37,,,,3
44,,,,38,,,,3
45,,46,,39,,3,,3
46,45,,,40,3,,,3
47,,48,,41,,3,,3
48,47,,,,3,,,
